Query Type,English,Arabic
IF CX Asks to Add a TIP for DA (NOWNOW STANDALONE APP) - POLITELY DENY,,
STORE NOT SHOWING IN APP,The delivery of orders depends on the availability of stores in your location. You can check this by entering your pinned location in the app.,"يعتمد توصيل الطلبات على توفر المتاجر في منطقتك. يمكنك التحقق من ذلك عن طريق إدخال موقعك في التطبيق.
"
STORE NOT SHOWING IN APP,The delivery of orders depends on the availability of stores in your location. You can check this by entering your pinned location in the app.,"يمكنك استكشاف المتاجر المتاحة وفقًا لعنوانك المحفوظ أو منطقتك، حيث ستظهر لك فقط المتاجر التي توفر التوصيل إلى موقعك. نواصل توسيع نطاق خدماتنا لضمان تغطية أوسع وتجربة أفضل لك!
"
EXISTING CX WANTS DISCOUNT CODE/COUPON,All our ongoing offers and discounts are available on the app. Feel free to check them out for the latest deals!,يمكنك تفقد جميع العروض والخصومات المتاحة حاليًا داخل التطبيق. نوصي بتصفحه بانتظام للبقاء على اطلاع على أحدث العروض!
EXISTING CX WANTS DISCOUNT CODE/COUPON,We regularly update and add new offers to the app. I’d recommend checking the app often for exciting upcoming deals!,يرجى العلم أنه يتم تحديث العروض بشكل مستمر على التطبيق. يُمكنك التحقق منه بانتظام للاستفادة من أحدث العروض والخصومات!
Why 1 AED charged on the card?,"A charge of 1 AED is applied when you add a new card or re-add an existing card after deleting it. However, this amount is automatically reversed to the same source card within 3-7 working days, depending on your bank’s policy. I appreciate your patience and understanding.","عند إضافة بطاقة جديدة أو إعادة إضافة بطاقة محذوفة، يتم فرض رسوم قدرها 1 درهم إماراتي. يتم استرداد هذا المبلغ تلقائيًا إلى نفس البطاقة خلال 3-7 أيام عمل، وفقًا لسياسة البنك الخاص بك. نقدر تفهمك.
"
"NON-MUSLIM ITEMS

It is applicable to nownow on Noon App only
Non-Halal items are available on Standalone app","As per the latest updates to our application, the Non-Muslim section has been removed. This feature is no longer available.",وفقًا لأحدث التحديثات في تطبيقنا، لم يعد قسم غير المسلمين متاحًا.
FOLLOW UP CASE,"Your concern has already been escalated to the relevant team, and they are actively working on it.

I have highlighted it again to speed up the process. Rest assured, they will do their best to resolve it as soon as possible. I appreciate your patience and understanding.",تم تمرير الأمر إلى الفريق المختص، وهم يعملون على حلها. لقد قمت بإعادة التأكيد عليها لتسريع المعالجة، وسيبذلون قصارى جهدهم لحلها في أقرب وقت ممكن. نقدر صبرك وتفهمك.
"COMPENSATION COUPON / TOKEN OF APOLOGY

Provide if the CX faced OOS, delays, Or order issues & requests a service or delivery fee waiver for a future order.

 Coupon Applicable only on Noon App ONLY and not applicable on Standalone app","I sincerely apologize for the delay in delivering your order. I understand how frustrating this must be, and I truly appreciate your patience.

As a token of our apology, we’d like to offer you a 10% discount on your next purchase with the code ZCR2RS. This coupon can be used twice and gives a discount of up to AED/SAR 10.",أسف على التأخير في تسليم طلبك ونقدر صبرك وتفهمك. كتعويض، نقدم لك خصمًا بنسبة 10% على مشترياتك القادمة باستخدام الكود ZCR2RS، والذي يمكن استخدامه مرتين بحد أقصى 10 دراهم/ريالات لكل طلب.
"COMPENSATION COUPON / TOKEN OF APOLOGY

Provide if the CX faced OOS, delays, Or order issues & requests a service or delivery fee waiver for a future order.

 Coupon Applicable only on Noon App ONLY and not applicable on Standalone app",We're committed to making this right. Let us know if there's anything else we can do for you.,نحن ملتزمون بحل هذا الأمر لك. لا تتردد في إبلاغنا إذا كان هناك أي شيء آخر يمكننا مساعدتك به.
Partnerships Related - Wants to Sell on NowNow,"Thank you for your interest in NowNow! We’re more than happy to assist you. For any sponsorship or business proposals, please reach out to our team at partnerships@noonnownow.com. You can also register at this link: https://www.noonnownow.com/merchant/partner-with-us",شكرًا لاهتمامك بـ NowNow! نحن متحمسون لاستكشاف فرص التعاون معك. لأي استفسارات حول الشراكات التجارية أو الرعاية، يرجى التواصل معنا عبر البريد الإلكتروني: partnerships@noonnownow.com. كما يمكنك التسجيل مباشرة من خلال الرابط: https://www.noonnownow.com/merchant/partner-with-us.
"Collaboration Partnership Related

*Offering A Marketing / Social Media / Influencer Type of Service(s).","Thank you for your interest!

Please reach out to us at collab@noonnownow.com, and our team will get back to you with the next steps.",نشكرك على اهتمامك! يمكنك التواصل معنا عبر البريد الإلكتروني collab@noonnownow.com، وسيقوم فريقنا بالرد عليك ومشاركة الخطوات التالية.
Why price increased - Non Weighable items,"I’m really sorry for any inconvenience this may have caused you. The price has increased at the store's end due to updated supplier costs and market fluctuations. 

We strive to maintain our quality and service standards, and this adjustment reflects the current market conditions to ensure the continued availability of our products. I truly appreciate your patience and understanding regarding this matter.",نقدّر تفهمك بشأن تعديل الأسعار، والذي تم من قبل المتجر استجابةً لتكاليف الموردين المحدثة وتقلبات السوق. نحن ملتزمون بالحفاظ على معايير الجودة والخدمة لضمان استمرار توفر المنتجات. لا تتردد في التواصل معنا إذا كان لديك أي استفسارات إضافية.
Why price increased - Weighable items,"Please note that the weight of weighable items may vary depending on their packaging or the quantity available in stock at the store.

As a result, the store may adjust the quantity in your order to reflect the actual weight, which could be slightly higher or lower based on availability. You will be charged accordingly for the final weight/quantity shipped.

We appreciate your patience and understanding. Let us know if you need any further assistance!""","يرجى العلم أن وزن المنتجات القابلة للوزن قد يختلف بناءً على طريقة تعبئتها أو الكمية المتوفرة في مخزون المتجر.

وبناءً على ذلك، قد يقوم المتجر بتحديث الكمية في طلبك لتعكس الوزن الفعلي، والذي قد يكون أكثر أو أقل حسب التوفر. سيتم احتساب التكلفة وفقًا للوزن/الكمية التي سيتم شحنها.

نقدر تفهمك وصبرك، ولا تتردد في التواصل معنا إذا كنت بحاجة إلى أي مساعدة إضافية!"
Why store reduced quantity,"Please be informed that, on rare occasions, stores may run out of stock for a partial quantity of an item. Unfortunately, this has happened in your case, and we sincerely apologize for any inconvenience this may have caused you.

Rest assured that our store partners always strive to fulfill orders in full. We truly appreciate your patience and understanding. Please let us know if we can assist you further!","يرجى العلم أنه في بعض الأحيان قد تنفد كمية جزئية من أحد المنتجات في المتاجر، رغم أن هذا نادر الحدوث. للأسف، هذا ما حدث في طلبك، ونأسف بصدق لأي إزعاج قد يكون قد سببه لك.

نؤكد لك أن شركاءنا في المتاجر يسعون دائمًا لتلبية جميع الطلبات بالكامل. نقدر تفهمك وصبرك، ونتمنى لك تجربة تسوق أفضل في المستقبل. لا تتردد في التواصل معنا إذا احتجت لأي مساعدة إضافية."
Delay due to high volume in orders,"I regret to inform you that due to a higher volume of orders, there will be a delay in the delivery of your order. Rest assured, we are doing our best to deliver the orders as soon as possible.

We truly understand how frustrating this can be, and we apologize for any inconvenience this may have caused you. We greatly appreciate your patience in this matter.","أعتذر لك عن التأخير في تسليم طلبك بسبب ارتفاع حجم الطلبات. كن مطمئنًا، نحن نعمل جاهدين لإيصال طلبك في أقرب وقت ممكن.

نقدّر صبرك وتفهمك، ونأسف لأي إزعاج قد يكون سببه لك هذا التأخير. لا تتردد في التواصل معنا إذا كنت بحاجة إلى أي مساعدة أخرى."
Self Cancellation,"We're sorry to hear about the cancellation. Since this is a self-service option, please click on 'Orders,' then go to 'Track Order.' You will find the option to cancel the order there.",نأسف لسماعنا عن رغبتك في الإلغاء. نظرًا لأن هذه خدمة ذاتية، يُرجى النقر على 'الطلبات' ثم الانتقال إلى 'تتبع الطلب'، حيث ستجد خيار إلغاء الطلب هناك.
Steps to use Noon Credits -,"You can use Noon Credits to place an order by activating the option to use them, provided you have a payment method already added to your account. After selecting this option, scroll to the bottom of the cart and place your order.

Make sure that a verified payment method, such as a credit/debit card or Apple Pay, is already added to your account in the payment methods section before using Noon Credits.

If the payable cart amount is not fully covered by your Noon Credits, you can combine another payment method (debit/credit card) or Apple Pay to pay the remaining amount and complete the transaction.","يمكنك استخدام رصيد نون لإتمام طلبك من خلال تفعيله أثناء الدفع، بشرط أن تكون قد أضفت مسبقًا طريقة دفع إلى حسابك. بعد تفعيل الخيار، انتقل إلى أسفل سلة التسوق وقم بتقديم الطلب.

يرجى التأكد من إضافة طريقة دفع مُفعّلة، مثل بطاقة ائتمان/خصم أو Apple Pay، في قسم طرق الدفع بحسابك قبل استخدام رصيد نون.

في حال لم يكن رصيد نون كافيًا لتغطية المبلغ الإجمالي، يمكنك استكمال الدفع باستخدام طريقة دفع أخرى (بطاقة خصم/ائتمان أو Apple Pay) لإتمام العملية بنجاح."
Service Fee charge - UAE,"The service fee is 3.5% of your final order value, with a minimum of AED 2.5 and capped at AED 5. This fee helps support the platform by improving the overall experience and covering operating costs, including the addition of new features and customer service.",يرجى العلم أن رسوم الخدمة تبلغ 3.5% من القيمة النهائية لطلبك، بحد أدنى 2.5 درهم إماراتي وبحد أقصى 5 دراهم إماراتية. تهدف هذه الرسوم إلى دعم المنصة من خلال تحسين تجربتك، وتغطية تكاليف التشغيل، بما في ذلك تطوير الميزات الجديدة وتعزيز خدمة العملاء.
Service Fee charge - KSA,"The service fee is 3.50% of your order value and helps support the platform by improving the overall experience and covering operating costs, including new features, packaging costs, and customer service. The fee is a minimum of 2.50 SAR and capped at 5 SAR.",يرجى العلم أن رسوم الخدمة هي 3.50% من قيمة طلبك وتساعد في دعم المنصة من خلال تحسين التجربة الشاملة وتغطية تكاليف التشغيل، بما في ذلك الميزات الجديدة، تكاليف التغليف، وخدمة العملاء. الرسوم بحد أدنى 2.50 ريال سعودي وبحد أقصى 5 ريالات سعودية.
Noon/NowNow Packaging fee (UAE),"All orders you place will now be delivered in the respective merchant/store's bags, and the corresponding bag cost will be added to your order total.

Please note that there is no Noon/NowNow packaging; it is store packaging, and the charge for bags is standard as per the store's policy.

For more information, please check the following link:
https://help.noonnownow.com/portal/en/kb/articles/what-is-packaging-cost","All orders you place will now be delivered in the respective merchant/store's bags, and the corresponding bag cost will be added to your order total.

Please note that there is no Noon/NowNow packaging; it is store packaging, and the charge for bags is standard as per the store's policy.

For more information, please check the following link:
https://help.noonnownow.com/portal/en/kb/articles/what-is-packaging-cost"
Why packaging fee when already paying Service Fee,"Please be informed that the service fee is charged by NowNow, while the delivery packaging fee is charged by the store. Both fees serve different purposes.",يرجى العلم أن رسوم الخدمة تُفرض من قبل ناو ناو، في حين أن رسوم تغليف التوصيل تُفرض من قبل المتجر، وكلٌ منهما يغطي جوانب مختلفة من الخدمة
Why packaging fee when already paying Service Fee,"The service fee is charged by NowNow, whereas the packaging fee is set by the store, each serving a different purpose.","يرجى العلم أن رسوم الخدمة تُفرض من قبل ناو ناو، بينما يتم تحديد رسوم التغليف من قبل المتجر، ولكل منهما غرض مختلف.
"
Small order fee - UAE (Applicable only on noon NowNow platform),"The small order fee allows customers to place an order below a store's minimum order value. In this regard, customers will need to pay a small order fee as follows:

AED 4.5 for all stores, except those listed below.
AED 5.5 for all Spinneys, Viva, and Union Coop stores.","يرجى العلم أن رسوم الطلب الصغير تتيح للعملاء إمكانية تقديم طلب بقيمة أقل من الحد الأدنى المحدد للمتجر. في هذه الحالة، سيتم تطبيق رسوم الطلب الصغير كما يلي:

4.5 دراهم إماراتية لجميع المتاجر، باستثناء المتاجر المذكورة أدناه.

5.5 دراهم إماراتية لمتاجر سبينيس، فيفا، ويونيون كووب."
If Cx Requests to 'Add a New Store' on NowNow / noon app which is near to him,"Thank you for choosing NowNow as your preferred shopping app and for sharing your thoughts with us! We're working hard to list more stores on the NowNow and Noon apps and ensure that their products are available for our valued customers.

Alternatively, you can email partnerships@noonnownow.com for any suggestions related to new stores in your area.","نشكرك على اختيار ناو ناو كتطبيق التسوق المفضل لديك ومشاركة آرائك معنا! نحن نواصل العمل على إضافة المزيد من المتاجر إلى تطبيقي ناو ناو ونون لضمان توفر مجموعة واسعة من المنتجات لعملائنا الكرام.

إذا كان لديك أي اقتراحات حول متاجر جديدة ترغب في رؤيتها في منطقتك، فلا تتردد في التواصل معنا عبر البريد الإلكتروني: partnerships@noonnownow.com."
How to Change language in the App,"Please follow these steps to change the language:

1.Log in to your account.
2. Go to the ""Account"" section.
3. Click on ""Language.""
4. The language will be changed.

I hope this information is helpful and resolves your query!","لتغيير اللغة، يرجى اتباع الخطوات التالية:
قم بتسجيل الدخول إلى حسابك.
انتقل إلى قسم ""الحساب"".
انقر على ""اللغة"".
سيتم تغيير اللغة تلقائيًا.
نأمل أن يكون هذا الشرح مفيدًا لك!"
How to Update Name in Profile section,"You can change your name by following these steps:

1. Go to the ""Account"" section of the application.
2. Navigate to ""Profile Details.""
3. Click on ""Edit.""
4. Change your name/surname.
5. Click on ""Save Profile.""

I hope this information helps and resolves your query!","لتغيير اسمك في التطبيق، يرجى اتباع الخطوات التالية:
انتقل إلى قسم ""الحساب"" في التطبيق.
توجه إلى ""تفاصيل الملف الشخصي"".
انقر على ""تعديل"".
قم بتحديث الاسم/اسم العائلة.
انقر على ""حفظ الملف الشخصي"".
نأمل أن يكون هذا الشرح مفيدًا لك!"
Troubleshoot Steps - Use only one (1) statement as per the Cx's issue,"General Troubleshooting:
Please try logging out and logging back in, updating the app (if needed), clearing the cache, or reinstalling the application.

Issue with Placing a New Order:
Please try logging out and logging back in, updating the app (if needed), and then attempt to place a new order.

Issue with Accepting/Rejecting Replacements:
Please try logging out and logging back in, updating the app (if needed), and then try to accept or reject the replacements.

Issue with Adding Payment Cards/Details:
Please try logging out and logging back in, updating the app (if needed), and then try adding your payment details again.

If the Issue Persists:
If the issue still persists, please contact us again, and we will be happy to assist you further.
","استكشاف الأخطاء العامة:
يرجى محاولة تسجيل الخروج ثم تسجيل الدخول مرة أخرى، تحديث التطبيق (إذا لزم الأمر)، مسح ذاكرة التخزين المؤقت، أو إعادة تثبيت التطبيق.
مشكلة في تقديم طلب جديد:
حاول تسجيل الخروج ثم تسجيل الدخول مرة أخرى، تحديث التطبيق (إذا لزم الأمر)، ثم محاولة تقديم الطلب مجددًا.
مشكلة في قبول/رفض البدائل:
يرجى تسجيل الخروج ثم تسجيل الدخول مرة أخرى، تحديث التطبيق (إذا لزم الأمر)، ثم محاولة قبول أو رفض البدائل مرة أخرى.
مشكلة في إضافة بطاقات/تفاصيل الدفع:
يرجى تسجيل الخروج ثم تسجيل الدخول مرة أخرى، تحديث التطبيق (إذا لزم الأمر)، ثم محاولة إضافة تفاصيل الدفع الخاصة بك مرة أخرى.
إذا استمرت المشكلة:
لا تتردد في التواصل معنا مرة أخرى، وسنكون سعداء بمساعدتك!
"
Troubleshoot Steps - if above doesn't work - Follow KB > Technology Scenarios > https://shorturl.at/MlBpO,FOR INTERNAL USE - Ask relevant probing to the Cx mentioned in the KB and help Cx accordingly,FOR INTERNAL USE - Ask relevant probing to the Cx mentioned in the KB and help Cx accordingly
Combine order - If Cx gives a request to send 2 or more orders together with same rider,"I regret to inform you that we are unable to combine the orders. Rest assured, we are continuously working hard to improve our services for you, and we hope to implement some changes in the near future.",أأسف لإبلاغك بأننا غير قادرين حاليًا على دمج الطلبات. ومع ذلك، نعمل باستمرار على تحسين خدماتنا لتقديم تجربة أفضل لك، ونأمل في توفير هذه الميزة مستقبلاً.
If Cx use Bad / Abusive / Foul language - Use Insult by customer scenario: https://tinyurl.com/yfnwpv6s,"First warning:
I understand that you’re upset, and I’m here to help resolve this issue. However, I kindly ask that you use professional language.

Second warning:
I can’t continue the conversation if you use profanity. Please refrain from using such language, or I will have to end our chat.

Third warning:
I’m still here to help and resolve this issue, but unfortunately, I must follow our protocols and end this conversation. Thank you for choosing NowNow. Goodbye.","التنبيه الأول:
نحن هنا لمساعدتك، وأتفهم انزعاجك. ومع ذلك، أرجو منك استخدام لغة مهنية لضمان تواصل فعّال.

التنبيه الثاني:
يرجى الامتناع عن استخدام أي ألفاظ غير لائقة، حيث قد يؤثر ذلك على إمكانية استمرار المحادثة.

التنبيه الثالث:
نرغب دائمًا في مساعدتك، ولكن وفقًا لسياساتنا، يتعين علينا إنهاء المحادثة في حال عدم الالتزام بأسلوب لائق في التواصل. شكرًا لتفهمك، ونتمنى لك يومًا سعيدًا."
"If Cx asks for full amount refund for an item / order but in CS Tool, Cx has already got a discount on the same item / order","Regarding your query with order number ""_________"", I want to inform you that you have been refunded the amount of 'REFUNDED_PRICE' for the item ""ITEM_NAME.""

You initially paid AED REFUNDED_PRICE instead of AED ITEM_PRICE, receiving a discount of DISCOUNT_AMOUNT on the item. Please note that the discounted amount is not eligible for a refund.","""بخصوص استفسارك حول رقم الطلب ""_________""، نود إبلاغك بأنه تم رد مبلغ 'REFUNDED_PRICE' لك مقابل المنتج ""ITEM_NAME"".
في البداية، تم دفع REFUNDED_PRICE درهم إماراتي بدلاً من ITEM_PRICE درهم إماراتي، حيث حصلت على خصم بقيمة DISCOUNT_AMOUNT على المنتج. يرجى ملاحظة أن مبلغ الخصم غير قابل للاسترداد.
إذا كان لديك أي استفسارات أخرى، لا تتردد في التواصل معنا، وسنكون سعداء بمساعدتك!"""
"Delete My Account - NowNow App

Before sharing A/c deletion steps - Sorry/apologize once to Cx and try to know the reason. 

If Cx shares the issue, try to assist to the Cx in best possible way and pacify him/her. 

if Cx is still adamant to Delete the A/c - share the account deleting steps and inforomarion.","We're sorry to hear that you want to delete your account. If there's anything we can do to improve your experience, we'd love to help. However, if you still wish to proceed, you can delete your account through the app by following these steps:

- Open the NowNow app.
- Go to the Account section.
- Select Delete Account.
- Confirm by choosing Cancel/Delete.

Please note that once your account is deleted, your registered contact number and email may no longer be usable for a new account. If you decide to return, you may need to sign up with a different contact number.

If you have any concerns, feel free to reach out—we’d be happy to assist!","نأسف لسماع رغبتك في حذف حسابك. إذا كان هناك أي شيء يمكننا القيام به لتحسين تجربتك، فنحن هنا للمساعدة! ومع ذلك، إذا كنت لا تزال ترغب في المتابعة، يمكنك حذف حسابك من خلال التطبيق باتباع الخطوات التالية:
يرجى الدخول على تطبيق ناو ناو.
انتقل إلى قسم الحساب.
اختر حذف الحساب.
أكد اختيارك بالنقر على إلغاء/حذف.
يرجى ملاحظة أنه بمجرد حذف حسابك، قد لا تتمكن من استخدام رقم الاتصال المسجل أو البريد الإلكتروني لإنشاء حساب جديد. إذا قررت العودة مستقبلاً، فقد تحتاج إلى التسجيل باستخدام رقم اتصال مختلف.
إذا كانت لديك أي استفسارات، لا تتردد في التواصل معنا، وسنكون سعداء بمساعدتك!
"
"Delete My Account - Noon App

Before sharing A/c deletion steps - Sorry/apologize once to Cx and try to know the reason. 

If Cx shares the issue, try to assist to the Cx in best possible way and pacify him/her. 

if Cx is still adamant to Delete the A/c - share the account deleting steps and inforomarion.","We're sorry to hear that you want to delete your account. If there's anything we can do to improve your experience, we'd love to help.

If you still wish to proceed, you can delete your account through the Noon app by following these steps:

- Open the Noon app.
- Go to the Account section.
- Click on Security under the Settings section.
- Select Delete Account.
- Check the box for ""I have read the terms and conditions.""
- Confirm by selecting ""Delete your account.""

This process may take 3-5 minutes to reflect across all devices.

Please note that once your account is deleted, your registered contact number and email may no longer be reusable. If you decide to return, you may need to sign up with a different contact number.

Let us know if there's anything else we can assist you with!","""نأسف لسماع أنك ترغب في حذف حسابك. إذا كان هناك أي شيء يمكننا القيام به لتحسين تجربتك، فنحن هنا للمساعدة!
إذا كنت لا تزال ترغب في المتابعة، يمكنك حذف حسابك من خلال تطبيق نون باتباع الخطوات التالية:
يرجى الدخول على تطبيق نون.
انتقل إلى قسم الحساب.
اضغط على الأمان ضمن قسم الإعدادات.
حدد حذف الحساب.
قم بتحديد المربع الخاص بـ ""لقد قرأت الشروط والأحكام"".
أكد الحذف عبر اختيار ""حذف حسابك"".
قد يستغرق تنفيذ هذه العملية من 3 إلى 5 دقائق حتى تنعكس عبر جميع الأجهزة.
⚠ يرجى ملاحظة أنه بمجرد حذف حسابك، قد لا يكون رقم الاتصال والبريد الإلكتروني المسجلان قابلين لإعادة الاستخدام. إذا قررت العودة في المستقبل، فقد تحتاج إلى التسجيل باستخدام رقم اتصال مختلف.
إذا كنت بحاجة إلى أي مساعدة أخرى، لا تتردد في التواصل معنا!"
Job Related query,"We're always glad to hear from those interested in a career at NowNow!

Please stay tuned for job offers or opportunities on our social media platforms and follow us at noon on LinkedIn: www.linkedin.com.

You can also check the following link for available positions:
https://www.linkedin.com/company/nooncom/jobs/

We appreciate your time and interest!","يسعدنا دائمًا سماع اهتمامك بالانضمام إلى فريق ناو ناو!
للاطلاع على الفرص الوظيفية، يرجى متابعة الوظائف المتاحة عبر منصاتنا على وسائل التواصل الاجتماعي، ويمكنك متابعتنا على لينكدإن من خلال الرابط التالي:
www.linkedin.com
كما يمكنك التقديم على الوظائف المتاحة عبر الرابط:
https://www.linkedin.com/company/nooncom/jobs/
نقدّر وقتك واهتمامك، ونتمنى لك التوفيق!"
How to Use/Apply a coupon code,"Here’s how you can apply a coupon code:

- Add items to your basket.
- Before checkout, look for the ""Enter Coupon Code"" option at the bottom.
- Click on your basket to review your items. Just below them, you'll find the ""Enter Coupon Code"" option above the price breakdown.
- Enter the coupon code and apply it.

Please note that the code must be applied before placing the order.","""يمكنك تطبيق كود الخصم باتباع الخطوات التالية:
إضافة المنتجات: قم بإضافة المنتجات التي ترغب في شرائها إلى سلة التسوق.
مراجعة السلة: قبل إتمام الدفع، انتقل إلى سلة التسوق لمراجعة المنتجات.
إدخال كود الخصم: ابحث عن خيار ""إدخال كود الخصم"" الموجود أسفل سلة التسوق وفوق تفاصيل السعر.
تطبيق الخصم: أدخل كود الخصم، ثم اضغط على ""تطبيق"" للاستفادة من الخصم.
⚠️ ملاحظة: يجب إدخال كود الخصم قبل إتمام الطلب، حيث لا يمكن إضافته بعد تأكيد الدفع."""
COD (Cash on Delivery),"Currently, we accept only card payments, including credit and debit cards (VISA/Mastercard), as well as Apple Pay and Noon Credits.

Cash on delivery (COD) is not available at this time, but we’ll be happy to offer it if this changes in the future","حاليًا، يتم قبول الدفع فقط عبر البطاقات، بما في ذلك بطاقات الائتمان والخصم (Visa/Mastercard)، بالإضافة إلى Apple Pay ومحفظة نون.
🚫 يرجى العلم أن الدفع عند الاستلام (COD) غير متوفر في الوقت الحالي، ولكن في حال توفره مستقبلاً، سنكون سعداء بإعلامك بذلك!"
Payment Issues Related (Payment on Hold),"Please provide the following details to raise a ticket:

- First 6 and last 4 digits of your card
- Card issuing bank name
- App version
- Are you using a virtual card?","لمساعدتك بشكل أفضل، يرجى تزويدنا بالتفاصيل التالية:
أول 6 وأخر 4 أرقام من بطاقتك
اسم البنك المُصدر للبطاقة
إصدار التطبيق الذي تستخدمه
هل البطاقة المستخدمة افتراضية؟
بمجرد تزويدنا بهذه التفاصيل، سنقوم بمراجعة الأمر واتخاذ اللازم في أسرع وقت ممكن."
Payment Issues after ticket raised,"Rest assured, I have escalated this issue to the relevant team, and we will aim to resolve it within the next ** hours. Please note your ticket number: '____________' for future reference.

Additionally, please avoid placing a new order more than three times","""أؤكد لك أنه تم تمرير الأمر إلى الفريق المختص، وسيتم حلها خلال الـ ** ساعة القادمة. يمكنك متابعة التحديثات باستخدام رقم الشكوى: '____________' عند الحاجة.
نرجو منك تجنب تقديم طلب جديد أكثر من ثلاث مرات لضمان معالجة المشكلة بكفاءة. شكراً لتفهمك!"""
Update payment method ,"Please note that you won't be able to update or change your payment method while your current order is being processed. This can only be done once the order has been shipped.

Thank you for your understanding!","يرجى العلم أنه لا يمكن تحديث أو تغيير طريقة الدفع أثناء معالجة الطلب الحالي. يمكنك تعديلها فقط بعد شحن الطلب.
شكرًا لتفهمك!"
When amount Will Refund,"I can see in the system that the team has processed a refund of AED ___ to your original payment method as the final resolution. It should reflect in your account within 3 to 7 working days, depending on your bank’s policy.","""يرجى العلم أن الفريق قد قام بمعالجة استرداد بقيمة ** درهم إماراتي إلى طريقة الدفع الأصلية كحل نهائي. من المتوقع أن يظهر المبلغ في حسابك خلال 3 إلى 7 أيام عمل، وفقًا لسياسة البنك الخاص بك.
"
When amount Already refunded,"Upon reviewing order number '_____', we confirm that a refund of AED _____ was processed on REFUND_DATE as the final resolution.

Refunds typically take 3 to 7 working days, depending on the bank’s policy.",بعد مراجعة الطلب رقم '_____'، نؤكد أنه تم معالجة استرداد بقيمة ** درهم إماراتي بتاريخ ** كحل نهائي. يرجى ملاحظة أن عملية الاسترداد قد تستغرق من 3 إلى 7 أيام عمل وفقًا لسياسة البنك.
1 AED Refund - UAE,"To save your payment method and ensure a seamless experience for future orders, we pre-authorize your added payment method (Apple Pay or credit/debit card) once for 1 AED.

This amount is immediately reversed from our end and refunded within 3 to 7 working days, depending on your bank’s policy","لضكان تجربة دفع سلسة للطلبات المستقبلية، يتم حجز مبلغ 1 درهم اماراتي بشكل مؤقت عند إضافة طريقة دفع جديدة (Apple Pay أو بطاقة الائتمان/الخصم).""يتم عكس هذا المبلغ فورًا من جهتنا، ويعاد المبلغ إلى حسابك خلال 3 إلى 7 أيام عمل، وفقًا لسياسة البنك الخاص بك."
1 SAR Refund - KSA,"To save your payment method and ensure a seamless experience for future orders, we pre-authorize your added payment method (Apple Pay or credit/debit card) once for 1 SAR.

This amount is immediately reversed from our end and refunded within 3 to 7 working days, depending on your bank’s policy.","""لضمان تجربة دفع سلسة للطلبات المستقبلية، يتم حجز مبلغ 1 ريال سعودي بشكل مؤقت عند إضافة طريقة دفع جديدة (Apple Pay أو بطاقة الائتمان/الخصم).
يتم عكس هذا المبلغ فورًا من جهتنا، ويعاد المبلغ إلى حسابك خلال 3 إلى 7 أيام عمل، وفقًا لسياسة البنك الخاص بك."
Account creation help,"Getting started with us is easy!

Simply register on the NowNow app using your mobile number, name, and email address.
Once you're in, confirm your location, add your debit/credit card, and start shopping.

Currently, we accept debit/credit card payments (VISA/Mastercard), Apple Pay, and Noon Credits (when ordering through the Noon app). Cash on delivery is not available.","
كل ما عليك فعله هو التسجيل في تطبيق ناو ناو باستخدام رقم هاتفك، واسمك، وبريدك الإلكتروني.
بعد تسجيل الدخول، قم بتحديد موقعك، وأضف بطاقة الائتمان أو الخصم الخاصة بك، وابدأ التسوق فورًا.

حاليًا، نقبل الدفع عبر بطاقات الائتمان/الخصم (فيزا/ماستركارد)، Apple Pay، ونون كريديت (عند الطلب من تطبيق نون). خيار الدفع عند الاستلام غير متوفر في الوقت الحالي."
How to Add Credit/Debit card OR Steps to add Credit/Debit card on Noon App,"Here’s how you can add a payment card:

- Add the items you’d like to your cart.

- Tap on Go to Checkout.

- Select the Debit/Credit card option.

- Tap the plus (+) icon to add a new card.

- Enter your card number, expiry date, and CVV, then tap Save card.

Let me know if you face any issues along the way!","إليك طريقة إضافة بطاقة الدفع:

أضف المنتجات التي ترغب بها إلى سلة التسوق.

اضغط على ""الانتقال إلى الدفع"".

اختر خيار ""بطاقة الائتمان/الخصم"".

اضغط على رمز + لإضافة بطاقة جديدة.

أدخل رقم البطاقة، تاريخ الانتهاء، ورمز CVV، ثم اضغط على ""حفظ البطاقة"".

إذا واجهت أي مشكلة أثناء العملية، لا تتردد في التواصل معي!"
Contact us,"For any further queries, you can reach out to our chat support via the Noon/NowNow app or email us at care@noonnownow.com. We're available 24/7!","إذا كان لديك أي استفسارات إضافية، يمكنك التواصل مع دعم الدردشة من خلال تطبيق نون/ناو ناو أو مراسلتنا عبر البريد الإلكتروني على care@noonnownow.com.
نحن متواجدون على مدار الساعة لمساعدتك!"
Ask department - when Cx Query / Order no. is not matching to a NowNow order,"Could you confirm if you're referring to Noon, Noon Food, Noon Minutes, or NowNow?",هل يمكنك توضيح ما إذا كنت تشير إلى نون، نون فود، نون دقيقة، أم ناو ناو؟ حتى نتمكن من مساعدتك بشكل أفضل.
Highlight-Issue,Please give me two minutes while I flag this issue to the right team to handle it for you.,يرجى منحي دقيقتين أثناء تمرير الأمر  إلى الفريق المختص لمعالجتها لك.
Highlight-Request,Please give me a couple of minutes while I pass this along to the right team to get things sorted for you.,"يرجى منحي بضع دقائق أثناء تمرير الأمر  إلى الفريق المختص لحلها لك.
"
